,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
0,,로이비,로터스앤인센스오드퍼퓸,"로이비의 중성 향수 베스트셀러, 푸르스름한 안개비를 들이마신 연꽃의 향기",/product/로이비-로터스-앤-인센스-오-드-퍼퓸-50ml/2292/category/568/display/1/,로이비 로터스앤인센스오드퍼퓸,109000,50,"중성,푸른,안개,연꽃","푸른,안개,연꽃",로터스앤인센스,로이비 로터스앤인센스,스테파니브루진 파리생제르망,르라보 로즈,,,
1,,로이비,샤프론앤오렌지블로썸오드퍼퓸,"버건디빛 샤프란과 오렌지 블로썸이 써내려가는 가을무드, 달콤하게 무르익은 오리엔탈 플로럴",/product/로이비-샤프론-앤-오렌지-블로썸-오-드-퍼퓸-50ml/2296/category/568/display/1/,로이비 샤프론앤오렌지블로썸오드퍼퓸,109000,50,"버건디,샤프란,오렌지블라썸,가을,오리엔탈,플로럴","샤프란,오렌지블라썸,플로럴,가을",샤프론앤오렌지블로썸,로이비 샤프론앤오렌지블로썸,메종마르지엘라 플라워마켓,,,트루사르디 돈나,
10,,메모,오리엔탈레더오드퍼퓸,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음",/product/메모-오리엔탈-레더-오-드-퍼퓸-75ml/2449/category/568/display/1/,메모 오리엔탈레더오드퍼퓸,350000,75,"라벤더,안개,바람,로즈,밤하늘,파츌리","라벤더,안개,바람,로즈,파츌리",오리엔탈레더,메모 오리엔탈레더,프라고나르 로즈드메이,딥디크 오로즈,딥디크 오카피탈,조말론 로즈앤매그놀리아코롱,프레데릭말 포트레이트오브어레이디
14,,불리,오트리플페루헬리오트로프,"바이올렛이 가득한 공중정원 속, 부드럽게 퍼지는 헬리오트로프 향기",/product/불리-오-트리플-페루-헬리오트로프-75ml/2020/category/568/display/1/,불리 오트리플페루헬리오트로프,230000,75,"바이올렛,정원,헬리오트로프","정원,헬리오트로프",오트리플페루헬리오트로프,불리 오트리플페루헬리오트로프,구찌알케미스트가든 더버진바이올렛,,,,
18,,랄프로렌,로맨스오드퍼퓸,같은 행동도 뭔가 더 아름답고 예쁘게 만드는 선명한 로맨틱함,/product/랄프로렌-로맨스-오-드-퍼퓸-3050100ml/1903/category/568/display/1/,랄프로렌 로맨스오드퍼퓸,70000,30,로맨틱,,로맨스,랄프로렌 로맨스,입생로랑 몽파리오드빠르펭,,,,
21,,조말론,잉글리쉬페어앤프리지아바디앤핸드로션,조말론 베스트셀러 '잉글리쉬 페어 앤 프리지아' 를 원하는 곳에 바를 수 있는 바디 & 핸드 로션,/product/조말론-잉글리쉬-페어-앤-프리지아-바디-앤-핸드-로션-250ml/2442/category/568/display/1/,조말론 잉글리쉬페어앤프리지아바디앤핸드로션,82000,250,"잉글리쉬,페어,프리지아","잉글리쉬,페어,프리지아",잉글리쉬페어앤프리지아바디앤핸드로션,조말론 잉글리쉬페어앤프리지아바디앤핸드로션,런던프로소디 페이퍼플라워팬오드코롱,,조말론 잉글리쉬페어앤프리지아코롱,딥디크 오프레지아,프라고나르 꾀르드솔레이
22,,프라다,라팜므오드퍼퓸,"출퇴근용으로 좋은, 아이보리 비누 향기가 연출하는 폭닥한 섹시함",/product/프라다-라팜므-오-드-퍼퓸-3550100ml/1352/category/568/display/1/,프라다 라팜므오드퍼퓸,171600,35,"출퇴근,아이보리,비누,폭닥","아이보리,비누,폭닥",라팜므,프라다 라팜므,트루사르디 르비드밀라노포르타누오바,아쿠아디파르마 미르토디파나레아,메종마르지엘라 레이지선데이모닝,산타마리아노벨라 프리지아오드코롱,프라다 레스인퓨전디미모사
23,,프라다,레스인퓨전디바닐라오드퍼퓸,"선선한 바람 불어오는 맑은 날, 바람타고 나리는 아카시아꽃 냄새와 은은하게 퍼지는 나무와 레더에서 맡아지는 묘한 친숙함",/product/프라다-레스-인퓨전-디-바닐라-오-드-퍼퓸/2663/category/568/display/1/,프라다 레스인퓨전디바닐라오드퍼퓸,242000,100,"선선,바람,맑은,바람,아카시아,나무,레더","선선,바람,아카시아,나무,레더",레스인퓨전디바닐라,프라다 레스인퓨전디바닐라,메종마르지엘라 세일링데이,,,,톰포드 코스타아주라
24,,프라다,레스인퓨전디일랑오드퍼퓸,늘어지는 아침을 깨우는 맑고 청아한 꽃 향기,/product/프라다-레스-인퓨전-디-일랑-오-드-퍼퓸/2655/category/568/display/1/,프라다 레스인퓨전디일랑오드퍼퓸,242000,100,"아침,맑은",아침,레스인퓨전디일랑,프라다 레스인퓨전디일랑,크리드 스프링플라워,프레데릭말 엉빠썽,불가리 뿌르옴므,메종마르지엘라 버블바스,
25,,프라다,루나로사오션오드뚜왈렛,"비즈니스맨의 정석, 시리고 푸른 대양을 품은 듯 참을 수 없는 시원한 향기",/product/프라다-루나로사-오션-오-드-뚜왈렛/2647/category/568/display/1/,프라다 루나로사오션오드뚜왈렛,110000,50,"비즈니스맨,시린,푸른,대양","시린,푸른",루나로사오션,프라다 루나로사오션,메모 윈터팰리스,,,,
